fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,RAA_mean,R_REFL_mean,SZA_mean,VIQ_mean,VZA_mean,Window
132,0.5189897937,0.5203322536,-93.5321932338,49.5113319799,196.16,,2376.192308,463.115385,6164.76,1485.461538,,-4988.956522,308.923077,3046.181818,6208,2133.08,25_May_09_June
133,0.3559479683,0.493582683,-93.4404725351,49.5113319799,228.833333,,2831.84,625.32,6432.36,1807.64,,-5043.818182,392.84,3032.090909,6208,1708.2,25_May_09_June
134,0.3792645229,0.362011422,-93.3946121858,49.5113319799,218.384615,,2540.846154,600.269231,6120.36,1637.230769,,-5078.095238,373.269231,3035.25,6208,1607,25_May_09_June
135,0.1844997679,0.3454771323,-93.3487518365,49.5113319799,255,,2666.916667,755.583333,6054.916667,1783.541667,,-4906.25,441.416667,3008.272727,6208,1091.708333,25_May_09_June
136,0.2178464796,0.2557991793,-93.2570311378,49.5113319799,271.64,,2528.2,751,5806.6,1699.291667,,-3727.291667,455.125,2978.5,6208,98.32,25_May_09_June
137,0.6108672051,0.8028493635,-93.1653104392,49.5113319799,273.291667,,2772.708333,749.416667,6045.25,1843.75,,-1023.666667,451.333333,2976.857143,6208,216.826087,25_May_09_June
138,0.4071665078,0.5549258781,-93.1194500898,49.5113319799,288.565217,,2706.8,836.48,5759.56,1892.48,,-1457.333333,508.125,2975.571429,3477.333333,125.409091,25_May_09_June
139,0.4544261917,0.5722942986,-93.0735897405,49.5113319799,306.769231,,2621.038462,922.730769,5533.884615,1905.961538,,577.12,549.269231,2990.857143,,503.541667,25_May_09_June
140,0.4479321927,0.7954934955,-94.4035398711,49.4484501976,245.464286,,2777.607143,760,6138,1856.321429,,-5162.708333,442.962963,3003,,796.892857,25_May_09_June
141,0.2298043871,0.2182129153,-94.3576795217,49.4484501976,247.074074,,2570.448276,775.933333,5921.933333,1742.62069,,-5203.321429,450.133333,3001.777778,6208,768.6,25_May_09_June
142,0.3573750075,0.1258388607,-94.3118191724,49.4484501976,242.407407,,2527.259259,721.785714,5954.357143,1685.392857,,-5191.444444,421.035714,3000.6,6208,739.285714,25_May_09_June
143,0.4917443022,0.500284639,-93.8990760284,49.4484501976,270.37931,,2749.266667,627.033333,6058.933333,1812.9,,-5061.2,428.366667,3012.636364,6208,1098.066667,25_May_09_June
144,0.3686642796,0.4334396049,-93.7614949805,49.4484501976,295.142857,,2832.137931,795.931034,5936.37931,1924.206897,,-5274.461538,489.068966,3006.444444,6208,1038.5,25_May_09_June
145,0.4209190916,0.5067845987,-93.6697742818,49.4484501976,261.535714,147,2729.357143,676.964286,6139.035714,1772,,-5028.230769,419.678571,3010.142857,,1070.821429,25_May_09_June
146,0.3271285724,0.4379642415,-93.6239139325,49.4484501976,239.535714,,2752.931034,658,6269.793103,1774.068966,,-5074.923077,396.793103,3030.8,5184,1723.482759,25_May_09_June
147,0.1348519851,0.3487447831,-93.5780535831,49.4484501976,192.896552,,2010.551724,452.965517,6045.62069,1249.655172,,-4965.6,298.448276,3042.090909,6208,2147.413793,25_May_09_June
148,0.2589894749,0.3431859357,-93.4863328845,49.4484501976,252,,2756.862069,812.142857,6085.703704,1854.241379,,-4860.666667,452.448276,3034.333333,,1838.37931,25_May_09_June
