fid,sif_mean_735,sif_mean_743,longitude,latitude,B_REFL_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ,VZA_mean,COMP_mean
580,0.8597600281,1.3074804664,-96.9258590843,49.4484501976,375.448276,4026.068966,1592.62069,6201.862069,3000.37931,,687.586207,-4801.56,2908.75,,1790.655172,161.000000
581,0.6799761876,1.1296040304,-96.8799987349,49.4484501976,442.035714,3938,1790.571429,5853.964286,3136.75,,816.25,-4738.846154,2929.5,,2274.392857,
582,1.3312856853,1.6677870303,-96.8341383856,49.4484501976,415.724138,4211.166667,1612.5,6168.666667,3257.166667,,769.433333,-4729,2935.538462,,2176.200000,165.000000
583,0.9581157118,1.2263530195,-96.7882780363,49.4484501976,406.62069,4252.034483,1567.034483,6262.137931,3211.586207,,732.517241,-4912,2876.5,,1361.035714,161.000000
584,0.9067893667,1.2142183838,-96.6965573376,49.4484501976,483,4078.482759,1893.551724,5815.758621,3295.482759,,869.482759,-4741.884615,2933.6,,2278.586207,
585,1.1520038077,1.6583182386,-96.6506969883,49.4484501976,478.071429,4082.296296,1907.821429,5826.214286,3284.285714,,861.571429,-4743.8,2940.727273,,2319.111111,
586,0.8967213114,1.1968982608,-96.6048366389,49.4484501976,490.071429,4099.931034,2130.172414,5765.172414,3398.103448,,909.793103,-4649.038462,2941.333333,,2422.931034,163.000000
587,0.9567269027,1.3338620424,-96.5589762896,49.4484501976,414.357143,4513.75,1783.821429,6313.035714,3492.678571,,778.214286,-4729.04,2949,,2263.461538,163.000000
588,1.1270977642,1.7786429524,-96.5131159403,49.4484501976,342.275862,4861.793103,1292.517241,6929.37931,3482.107143,,630.827586,-4741.814815,2940,,2406.678571,
589,0.8175608091,1.2136714891,-96.4213952416,49.4484501976,394.714286,4614.607143,1406.857143,6519.5,3481.571429,,730.714286,-4515.307692,2985.466667,,3026.928571,163.000000
590,0.7424914688,1.2100510427,-96.3755348923,49.4484501976,358.068966,4603.448276,1326.655172,6693.37931,3377.172414,,682.821429,-4461.076923,3070.5,,3761.291667,165.000000
591,0.7522053321,1.1285732587,-96.2838141936,49.4484501976,244.931034,4373.034483,710.482759,7316.551724,2812.206897,,430.310345,-3912.888889,3168.071429,,4171.733333,164.500000
592,0.6729371492,0.9780425765,-96.2379538443,49.4484501976,224.592593,4867.892857,651.928571,7718.75,3066.607143,,388.071429,-4054.352941,3213.5,,5202.692308,170.000000
593,1.0275298595,1.1796999931,-96.192093495,49.4484501976,263.592593,4606.571429,898.275862,7278.275862,3050.678571,,481.344828,-2955.75,3143.866667,,4221.400000,163.000000
594,0.6897180498,0.7856710315,-96.1462331456,49.4484501976,270.535714,4682.896552,983.517241,7224.310345,3146.827586,,500.137931,-3960.652174,3007.083333,,2568.304348,164.750000
595,0.2402902879,0.5301195651,-96.054512447,49.4484501976,297.730769,3780,813.214286,6653.357143,2522.785714,,506.964286,-4573.913043,2983.263158,,2908.555556,165.000000
596,0.5083821177,0.6654549569,-95.8710710497,49.4484501976,314.307692,3075.259259,871.148148,5709.518519,2250.777778,,588.615385,-4809.136364,2929.5,,1940.461538,174.000000
597,0.3705986729,0.815966477,-95.6876296523,49.4484501976,333.678571,3098.357143,954.035714,5654.821429,2286.571429,1,613.142857,-4762.125,2931.416667,,2027.578947,165.000000
598,0.2258312434,0.2182336759,-95.641769303,49.4484501976,294.206897,3371.551724,859.206897,6241.068966,2329.178571,1,534.551724,-889,2860.642857,,1824.695652,164.666667
