longitude,latitude,sif_mean_735,sif_mean_743,B_REFL_mean,COMP_mean,EVI_mean,MIR_REFL_mean,NDVI_mean,NIR_REFL_mean,PXL_REL_mean,R_REFL_mean,RAA_mean,SZA_mean,VIQ_mean,VZA_mean
-99.5857593454,49.2598048509,0.764512,1.114269,413.068493,167.666667,2799.879195,1762.771812,4863.812081,2406.851351,0.600000,810.767123,9595.424000,2767.214286,6058.000000,2805.218750
-99.5398989961,49.2598048509,0.802057,1.172424,387.898649,168.400000,2903.466667,1522.360000,5037.865772,2395.100671,0.666667,751.771812,8880.201550,2773.310345,8165.166667,2905.804348
-99.4940386468,49.2598048509,0.804217,1.240241,376.841060,167.500000,3183.463576,1477.125828,5341.331126,2551.644737,1.000000,730.735099,7464.631579,2805.363636,7672.000000,2983.000000
-99.4023179481,49.2598048509,0.939295,1.372646,419.351351,164.000000,3683.263514,1863.946309,5635.986577,3014.590604,1.000000,828.295302,230.198473,2938.178082,3535.363636,3290.854167
-99.3105972494,49.2598048509,0.846777,1.162505,434.360000,164.333333,3615.205298,2011.596026,5506.589404,3023.894040,0.666667,856.326667,-4429.137681,2996.481928,3302.571429,3438.788079
-99.2647369001,49.2598048509,0.807700,1.113454,422.913333,163.666667,3587.173333,1933.536424,5537.841060,2972.735099,0.800000,837.879195,-4433.219697,2991.047059,3163.600000,3386.366667
-99.2188765508,49.2598048509,0.908597,1.221649,412.410596,164.333333,3490.746667,1841.291391,5475.841060,2878.715232,0.750000,813.560000,-4429.181818,2991.060976,3996.583333,3372.953020
-99.1730162014,49.2598048509,0.968541,1.375145,416.806667,165.000000,3312.845638,1894.966667,5300.260000,2767.513333,1.428571,819.641892,-4432.137405,2979.623377,4299.750000,3213.157534
-99.1271558521,49.2598048509,1.099282,1.508645,431.593333,165.333333,3280.509934,1999.721854,5227.172185,2778.417219,1.428571,843.860000,-4499.433071,2953.077922,4309.066667,2787.812500
-99.0812955028,49.2598048509,1.086409,1.559396,447.348993,164.714286,3480.333333,2095.833333,5357.800000,2936.986577,1.600000,870.684564,-4592.898438,2926.923077,4175.454545,2296.333333
